la_position,pend_velocity,pend_position,cmd_volts,elapsed
3.03558,454.5,-53.82,1.239258,40
2.78268,387,-38.34,2.621094,40
2.34234,333,-25.02,3.787109,40
1.86084,283.5,-13.68,4.791992,40
1.38384,247.5,-3.78,5.008789,40
0.89874,229.5,5.4,2.092773,40
0.61362,202.5,13.5,-3.40625,40
1.02834,78.461538,16.56,-4.995117,39
1.518,100.97561,20.7,-4.996094,41
1.98192,138.461538,26.1,-4.996094,39
2.45676,193.5,33.84,-4.62207,40
2.92806,274.5,44.82,-4.428711,40
3.39414,360,59.22,-3.563477,40
3.40788,601.463415,-74.52,0.505859,41
3.33492,472.5,-55.62,0.503906,40
3.26496,364.615385,-41.4,0.507812,39
3.18468,272.195122,-30.24,0.713867,41
3.06948,202.5,-22.14,1.005859,40
2.82996,171,-15.3,5.008789,40
2.36376,180,-8.1,5.006836,40
1.89738,156.923077,-1.98,4.739258,39
1.40748,149.268293,4.14,1.075195,41
1.24734,85.5,7.56,-2.579102,40
1.69152,-36,6.12,-4.592773,40
2.16846,-40.5,4.5,-3.638672,40
2.63106,-36,3.06,-2.655273,40
3.0894,-78.461538,0,-1.806641,39
3.3129,31.5,1.26,0.05957,40
3.26826,90,4.86,0.505859,40
3.19824,103.5,9,0.504883,40
3.12522,121.5,13.86,0.504883,40
3.05568,153,19.98,0.504883,40
3.11988,175.5,27,-4.994141,40
3.54792,157.5,33.3,0.504883,40
3.52446,301.5,45.36,0.505859,40
3.44748,396,61.2,0.503906,40
3.37818,526.5,82.26,0.504883,40
3.30768,639,107.82,0.505859,40
3.2463,769.5,138.6,0.505859,40
3.18744,847.317073,173.34,0.505859,41
3.12702,864,-152.1,0.503906,40
3.06084,798.461538,-120.96,0.505859,39
3.03162,680.487805,-93.06,-0.837891,41
3.13122,558,-70.74,-0.170898,40
3.12108,436.5,-53.28,0.505859,40
3.04524,346.5,-39.42,0.506836,40
2.88882,272.307692,-28.8,3.71582,39
2.41578,267.804878,-17.82,4.521484,41
1.93776,225,-8.82,5.008789,40
1.45668,202.5,-0.72,5.008789,40
1.00404,180,6.3,0.283203,39
0.98118,114.146341,10.98,-3.921875,41
1.43772,32.307692,12.24,-4.996094,39
1.91262,54,14.4,-4.996094,40
2.38938,72,17.28,-4.99707,40
2.86134,117,21.96,-4.995117,40
3.34134,162.439024,28.62,-4.994141,41
3.42708,835.384615,158.04,0.503906,39
3.3756,891,-166.32,0.504883,40
3.31014,856.097561,-131.22,0.50293,41
3.24042,756,-100.98,0.503906,40
3.16422,634.5,-75.6,0.50293,40
3.09066,503.076923,-55.98,0.50293,39
2.96304,395.121951,-39.78,1.892578,41
2.60694,346.5,-25.92,3.682617,40
2.1315,310.5,-13.5,4.720703,40
1.65132,279,-2.34,5.007812,40
1.17306,261,8.1,1.205078,40
1.02876,207,16.38,-4.994141,40
1.48476,112.5,20.88,-4.99707,40
1.93926,133.846154,26.1,-4.995117,39
2.42856,197.560976,34.2,-4.626953,41
2.89032,272.307692,44.82,-4.400391,39
3.35874,355.5,59.04,-3.563477,40
3.47244,733.5,-99.54,0.504883,40
3.3969,601.463415,-74.88,0.504883,41
3.32598,475.384615,-56.34,0.505859,39
3.25446,364.5,-41.76,0.505859,40
3.17568,276.585366,-30.42,0.650391,41
3.07164,202.5,-22.32,1.006836,40
2.83224,171,-15.48,5.009766,40
2.36616,184.5,-8.1,5.008789,40
1.8999,166.153846,-1.62,4.734375,39
1.40898,158.04878,4.86,0.856445,41
1.30422,85.5,8.28,-3.018555,40
1.75896,-31.5,7.02,-4.995117,40
2.2344,-27,5.94,-4.183594,40
2.70942,-13.5,5.4,-3.535156,40
3.1806,0,5.4,-3.22168,40
3.58902,23.076923,6.3,0.503906,39
3.54534,127.317073,11.52,0.503906,41
3.47556,156.923077,17.64,0.504883,39
3.40788,189,25.2,0.506836,40
3.33534,243,34.92,0.505859,40
3.26508,310.5,47.34,0.505859,40
3.19002,403.902439,63.9,0.506836,41
3.12024,512.307692,83.88,0.505859,39
3.05214,639,109.44,0.504883,40
3.01764,760.5,139.86,-0.458008,40
3.09732,859.5,-180,-1.483398,40
3.3117,900,-148.86,-1.618164,41
3.46764,840,-116.1,0.506836,39
3.38022,693,-88.38,0.506836,40
3.3054,561.95122,-65.34,0.505859,41
3.23268,436.5,-47.88,0.503906,40
3.16056,333,-34.56,0.504883,40
3.0699,261,-24.12,1.104492,40
2.81718,225,-15.12,4.871094,40
2.3511,229.5,-5.94,5.007812,40
1.87164,220.5,2.88,3.40918,40
1.44936,207,11.16,-1.874023,40
1.73268,76.5,14.22,-4.996094,40
2.20446,54,16.38,-4.996094,40
2.68032,81,19.62,-4.996094,40
3.13116,120,24.3,-4.99707,39
3.57918,184.390244,31.86,0.505859,41
3.54516,332.307692,44.82,0.504883,39
3.46884,423,61.74,0.50293,40
3.39852,535.5,83.16,0.50293,40
3.32874,652.5,109.26,0.503906,40
3.26562,772.682927,140.94,0.506836,41
3.20964,858.461538,-180,0.504883,39
3.14994,873,-150.66,0.503906,40
3.08232,810,-118.26,0.505859,40
3.04686,698.04878,-89.64,-0.725586,41
3.1257,563.076923,-67.68,0.019531,39
3.10338,459,-49.32,0.506836,40
3.01818,364.5,-34.74,0.775391,40
2.80356,302.926829,-22.32,4.060547,41
2.33526,301.5,-10.26,4.99707,40
1.8537,256.5,0,5.007812,40
1.38672,256.5,10.26,-0.176758,40
1.44984,171,17.1,-4.996094,40
1.91472,117,21.78,-4.994141,40
2.39316,148.5,27.72,-4.99707,40
2.86836,207,36,-4.470703,40
3.33864,283.5,47.34,-4.257812,40
3.45318,819,-117.9,0.504883,40
3.37872,702,-89.82,0.505859,40
3.30516,571.5,-66.96,0.504883,40
3.23214,450,-48.96,0.503906,40
3.15936,346.5,-35.1,0.504883,40
3.0705,270,-24.3,1.123047,40
2.81232,238.5,-14.76,4.855469,40
2.33232,245.853659,-4.68,5.008789,41
1.86324,235.384615,4.5,2.635742,39
1.49772,211.5,12.96,-2.871094,40
1.9026,74.634146,16.02,-4.993164,41
2.37996,72,18.9,-4.99707,40
2.85336,108,23.22,-4.995117,40
3.31374,156.923077,29.34,-4.901367,39
3.4194,832.5,160.2,0.504883,40
3.36612,877.5,-164.7,0.507812,40
3.30474,835.384615,-132.12,0.503906,39
3.2334,759.512195,-100.98,0.504883,41
